time,metric,value,if_score
2026-05-01 02:10:00+00:00,M516,17.0,-0.004318743631509969
2026-05-01 02:10:00+00:00,M520,2732.0,-0.004318743631509969
2026-05-01 02:10:00+00:00,M529,2.0,-0.004318743631509969
2026-05-01 02:10:00+00:00,M609,8.0,-0.004318743631509969
2026-05-01 02:10:00+00:00,M610,0.0,-0.004318743631509969
2026-05-01 02:10:00+00:00,M618,0.0,-0.004318743631509969
2026-05-01 02:10:00+00:00,M658,66.0,-0.004318743631509969
2026-05-01 02:10:00+00:00,M688,0.0,-0.004318743631509969
2026-05-01 02:10:00+00:00,M696,1175.0,-0.004318743631509969
2026-05-01 02:10:00+00:00,M719,0.0,-0.004318743631509969
2026-05-01 02:10:00+00:00,M736,0.0,-0.004318743631509969
2026-05-01 02:10:00+00:00,M767,0.0,-0.004318743631509969
2026-05-01 02:10:00+00:00,M779,31.0,-0.004318743631509969
2026-05-01 02:10:00+00:00,M786,112.0,-0.004318743631509969
2026-05-01 02:10:00+00:00,M841,2.0,-0.004318743631509969
2026-05-01 02:10:00+00:00,M843,0.0,-0.004318743631509969
2026-05-01 02:10:00+00:00,M855,0.0,-0.004318743631509969
2026-05-01 02:10:00+00:00,M874,248.0,-0.004318743631509969
2026-05-01 02:10:00+00:00,M899,1.0,-0.004318743631509969
2026-05-01 02:10:00+00:00,M904,1.0,-0.004318743631509969
2026-05-01 02:10:00+00:00,M965,10.0,-0.004318743631509969
2026-05-01 02:10:00+00:00,M971,4248.0,-0.004318743631509969
2026-05-01 02:10:00+00:00,M972,0.0,-0.004318743631509969
2026-05-01 02:10:00+00:00,M991,0.0,-0.004318743631509969
2026-05-01 02:15:00+00:00,M029,0.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M037,0.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M104,6.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M162,0.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M164,0.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M185,56.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M204,0.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M238,0.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M265,10.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M318,0.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M336,0.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M348,0.0,-0.07608869218384395
2026-05-01 02:15:00+00:00,M362,0.0,-0.07608869218384395
