time,metric,value,z_score
2026-06-01 17:10:00+00:00,M855,38,21.0795799642611
2026-06-01 17:10:00+00:00,M874,1,-3.3465862772381234
2026-06-01 17:15:00+00:00,M185,4,-3.6729902970610286
2026-06-01 17:15:00+00:00,M696,363,-4.18312484339471
2026-06-01 17:15:00+00:00,M874,0,-3.365386115920349
2026-06-01 17:15:00+00:00,M971,2298,-3.2985704030975214
2026-06-01 17:20:00+00:00,M185,7,-3.411288352849347
2026-06-01 17:20:00+00:00,M696,407,-3.9842109146275
2026-06-01 17:20:00+00:00,M874,0,-3.365386115920349
2026-06-01 17:25:00+00:00,M185,9,-3.2368203900415593
2026-06-01 17:25:00+00:00,M696,407,-3.9842109146275
2026-06-01 17:25:00+00:00,M843,1,5.807053316353087
2026-06-01 17:25:00+00:00,M874,0,-3.365386115920349
2026-06-01 17:25:00+00:00,M971,2369,-3.2088374097676886
2026-06-01 17:30:00+00:00,M185,6,-3.498522334253241
2026-06-01 17:30:00+00:00,M696,387,-4.074626336794414
2026-06-01 17:30:00+00:00,M874,1,-3.3465862772381234
2026-06-01 17:30:00+00:00,M971,2498,-3.045801407802217
2026-06-01 17:35:00+00:00,M185,5,-3.585756315657135
2026-06-01 17:35:00+00:00,M696,437,-3.84858778137713
2026-06-01 17:35:00+00:00,M874,0,-3.365386115920349
2026-06-01 17:35:00+00:00,M971,2478,-3.0710783073317476
2026-06-01 19:45:00+00:00,M336,1,9.86959171074772
2026-06-01 20:15:00+00:00,M029,1,5.0761719056800665
2026-06-01 20:30:00+00:00,M029,1,5.0761719056800665
2026-06-01 22:40:00+00:00,M490,1,3.6280130488296627
2026-06-01 22:40:00+00:00,M736,2,3.6390656569105078
2026-06-01 23:00:00+00:00,M474,1,11.742331665439213
2026-06-02 00:05:00+00:00,M490,1,3.6280130488296627
2026-06-02 00:10:00+00:00,M841,4,3.3463180561446433
2026-06-02 00:15:00+00:00,M475,1,3.9861637392558062
2026-06-02 00:20:00+00:00,M029,1,5.0761719056800665
2026-06-02 02:00:00+00:00,M779,9,3.996262208224016
2026-06-02 02:45:00+00:00,M736,2,3.6390656569105078
2026-06-02 02:50:00+00:00,M029,1,5.0761719056800665
2026-06-02 02:55:00+00:00,M475,1,3.9861637392558062
2026-06-02 03:30:00+00:00,M736,2,3.6390656569105078
2026-06-02 04:00:00+00:00,M475,1,3.9861637392558062
2026-06-02 04:05:00+00:00,M475,1,3.9861637392558062
2026-06-02 04:05:00+00:00,M786,80,3.093838372011556
2026-06-02 04:10:00+00:00,M490,4,15.20542178232241
2026-06-02 04:50:00+00:00,M475,1,3.9861637392558062
2026-06-02 05:25:00+00:00,M475,1,3.9861637392558062
2026-06-02 05:35:00+00:00,M475,1,3.9861637392558062
2026-06-02 05:40:00+00:00,M029,1,5.0761719056800665
2026-06-02 05:40:00+00:00,M736,2,3.6390656569105078
2026-06-02 05:45:00+00:00,M843,1,5.807053316353087
2026-06-02 06:50:00+00:00,M490,1,3.6280130488296627
2026-06-02 07:15:00+00:00,M475,1,3.9861637392558062
2026-06-02 08:15:00+00:00,M104,4,3.5266457494405126
2026-06-02 08:15:00+00:00,M516,6,3.1541831310751034
2026-06-02 08:20:00+00:00,M779,8,3.4795494440609875
2026-06-02 08:30:00+00:00,M164,1,8.28702251171813
2026-06-02 09:45:00+00:00,M475,1,3.9861637392558062
2026-06-02 10:15:00+00:00,M490,1,3.6280130488296627
2026-06-02 10:30:00+00:00,M474,1,11.742331665439213
2026-06-02 11:10:00+00:00,M475,1,3.9861637392558062
2026-06-02 11:30:00+00:00,M516,6,3.1541831310751034
2026-06-02 11:40:00+00:00,M336,1,9.86959171074772
2026-06-02 11:40:00+00:00,M843,1,5.807053316353087
2026-06-02 11:50:00+00:00,M490,2,7.487149293327246
2026-06-02 11:55:00+00:00,M029,1,5.0761719056800665
2026-06-02 12:55:00+00:00,M841,5,4.357175157216511
2026-06-02 13:25:00+00:00,M965,42,3.351994399686776
2026-06-02 14:30:00+00:00,M475,1,3.9861637392558062
2026-06-02 14:45:00+00:00,M529,12,3.777481769739542
2026-06-02 15:20:00+00:00,M965,43,3.4754451738247094
2026-06-02 16:00:00+00:00,M419,1,12.950858562770918
2026-06-02 16:10:00+00:00,M419,1,12.950858562770918
2026-06-02 16:45:00+00:00,M843,1,5.807053316353087
2026-06-02 16:50:00+00:00,M965,45,3.7223467221005757
2026-06-02 17:15:00+00:00,M965,40,3.1050928514109097
2026-06-02 18:00:00+00:00,M164,1,8.28702251171813
2026-06-02 18:20:00+00:00,M037,1,3.2239875006755123
2026-06-02 18:40:00+00:00,M164,5,41.68406979372975
2026-06-02 18:45:00+00:00,M164,2,16.636284332221035
2026-06-02 18:50:00+00:00,M475,1,3.9861637392558062
2026-06-02 19:45:00+00:00,M843,1,5.807053316353087
2026-06-02 20:00:00+00:00,M475,1,3.9861637392558062
2026-06-02 22:50:00+00:00,M475,1,3.9861637392558062
2026-06-02 23:40:00+00:00,M965,41,3.228543625548843
2026-06-03 01:05:00+00:00,M164,1,8.28702251171813
2026-06-03 01:20:00+00:00,M841,4,3.3463180561446433
2026-06-03 01:30:00+00:00,M029,1,5.0761719056800665
2026-06-03 01:30:00+00:00,M490,1,3.6280130488296627
2026-06-03 01:35:00+00:00,M029,1,5.0761719056800665
2026-06-03 01:35:00+00:00,M779,8,3.4795494440609875
2026-06-03 01:40:00+00:00,M490,1,3.6280130488296627
2026-06-03 01:40:00+00:00,M516,9,4.992259177790335
2026-06-03 01:40:00+00:00,M779,14,6.579826029039159
2026-06-03 01:40:00+00:00,M786,85,3.4351037051928617
2026-06-03 01:45:00+00:00,M490,1,3.6280130488296627
2026-06-03 01:45:00+00:00,M516,9,4.992259177790335
2026-06-03 02:00:00+00:00,M029,1,5.0761719056800665
2026-06-03 02:00:00+00:00,M841,6,5.368032258288379
2026-06-03 02:05:00+00:00,M490,1,3.6280130488296627
2026-06-03 02:15:00+00:00,M164,1,8.28702251171813
2026-06-03 02:30:00+00:00,M841,6,5.368032258288379
2026-06-03 02:55:00+00:00,M490,1,3.6280130488296627
2026-06-03 03:40:00+00:00,M336,1,9.86959171074772
2026-06-03 03:50:00+00:00,M029,1,5.0761719056800665
2026-06-03 04:00:00+00:00,M490,1,3.6280130488296627
2026-06-03 04:05:00+00:00,M104,4,3.5266457494405126
2026-06-03 04:10:00+00:00,M841,5,4.357175157216511
2026-06-03 04:25:00+00:00,M029,1,5.0761719056800665
2026-06-03 04:25:00+00:00,M104,5,4.6030491176475925
2026-06-03 04:25:00+00:00,M516,9,4.992259177790335
2026-06-03 04:30:00+00:00,M029,1,5.0761719056800665
2026-06-03 04:30:00+00:00,M475,1,3.9861637392558062
2026-06-03 04:50:00+00:00,M490,1,3.6280130488296627
2026-06-03 05:15:00+00:00,M843,1,5.807053316353087
2026-06-03 06:10:00+00:00,M475,1,3.9861637392558062
2026-06-03 06:30:00+00:00,M490,1,3.6280130488296627
2026-06-03 06:45:00+00:00,M965,40,3.1050928514109097
